example_id                                                                           | status | run_time        |
./spec/features/creating_a_tag_plate_spec.rb[1:2:1:1:2:2:1:1]                        | passed | 4.39 seconds    |
./spec/features/creating_a_tag_plate_spec.rb[1:2:1:1:2:3:1:1]                        | passed | 2.58 seconds    |
./spec/features/creating_a_tag_plate_spec.rb[1:2:1:1:2:4:1:1]                        | passed | 2.58 seconds    |
./spec/features/creating_a_tag_plate_spec.rb[1:2:2:1:1]                              | passed | 2.58 seconds    |
./spec/features/creating_plate_with_bait_spec.rb[1:1]                                | passed | 3.15 seconds    |
./spec/features/failing_wells_spec.rb[1:1]                                           | passed | 2.45 seconds    |
./spec/features/plate_transfer_spec.rb[1:1]                                          | passed | 2.88 seconds    |
./spec/features/plate_transfer_spec.rb[1:2]                                          | passed | 2.32 seconds    |
./spec/features/plate_transfer_spec.rb[1:3]                                          | passed | 2.02 seconds    |
./spec/features/pool_tubes_at_end_of_pipeline_spec.rb[1:1:1:1]                       | passed | 1.94 seconds    |
./spec/features/pool_tubes_at_end_of_pipeline_spec.rb[1:2:1:1]                       | passed | 2.16 seconds    |
./spec/features/pooling_multiple_plates_into_one_tube_spec.rb[1:1]                   | passed | 3.59 seconds    |
./spec/features/pooling_multiple_plates_into_one_tube_spec.rb[1:2]                   | passed | 2.85 seconds    |
./spec/features/pooling_multiple_plates_spec.rb[1:1]                                 | passed | 4.99 seconds    |
./spec/features/pooling_multiple_tubes_into_one_tube_spec.rb[1:1:1]                  | passed | 1.96 seconds    |
./spec/features/pooling_multiple_tubes_into_one_tube_spec.rb[1:2:1]                  | passed | 1.77 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:1]                                 | passed | 1.35 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:2:1]                               | passed | 1.51 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:3:1]                               | passed | 1.41 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:4:1]                               | passed | 1.25 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:5:1]                               | passed | 1.73 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:6:1]                               | passed | 1.81 seconds    |
./spec/features/viewing_a_minimal_plate_spec.rb[1:6:2]                               | passed | 2.03 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:1]                                         | passed | 1.15 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:2:1]                                       | passed | 1.12 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:3:1]                                       | passed | 1.15 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:4:1]                                       | passed | 1.1 seconds     |
./spec/features/viewing_a_plate_spec.rb[1:5:1]                                       | passed | 0.92593 seconds |
./spec/features/viewing_a_plate_spec.rb[1:5:2]                                       | passed | 0.98923 seconds |
./spec/features/viewing_a_plate_spec.rb[1:6:1]                                       | passed | 1.01 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:6:2]                                       | passed | 0.8894 seconds  |
./spec/features/viewing_a_plate_spec.rb[1:7:1]                                       | passed | 1.35 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:8:1]                                       | passed | 2.28 seconds    |
./spec/features/viewing_a_plate_spec.rb[1:8:2]                                       | passed | 2.29 seconds    |
./spec/features/viewing_inboxes_spec.rb[1:1]                                         | passed | 4.31 seconds    |
./spec/features/viewing_inboxes_spec.rb[1:2]                                         | passed | 0.957 seconds   |
./spec/lib/plate_helpers_spec.rb[1:1]                                                | passed | 0.0008 seconds  |
./spec/lib/well_helpers_spec.rb[1:1:1:1]                                             | passed | 0.0183 seconds  |
./spec/lib/well_helpers_spec.rb[1:2:1:1]                                             | passed | 0.00291 seconds |
./spec/lib/well_helpers_spec.rb[1:3:1:1]                                             | passed | 0.00284 seconds |
